1	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040
1180	KHL																				
1181	1.975	UFA																			
1183	0.700	RFA																			
1186	0.917	RFA																			
1188	2.600	2.600	UFA																		
1896	0.700	RFA																			
1189	5.750	5.750	UFA																		
1192	0.700	UFA																			
1897	0.700	RFA																			
1194	0.700	UFA																			
1195	1.000	UFA																			
1198	1.000	UFA																			
1200	6.000	6.000	UFA																		
1202	3.200	5.600	5.600	UFA																	
1203	2.700	2.700	2.700	UFA																	
1204	0.925	0.875	UFA																		
1206	1.713	1.713	RFA																		
1207	6.962	6.962	6.962	6.962	6.962	UFA															
1208	5.500	5.500	5.500	5.500	UFA																
1898	GERMANY																				
1210	0.700	RFA																			
1899	UFA																				
1900	UFA																				
1215	UFA																				
1216	7.500	7.500	7.500	7.500	UFA																
1219	1.400	1.400	UFA																		
1221	6.000	6.000	6.000	6.000	UFA																
1222	2.138	2.138	UFA																		
1901	0.700	RFA																			
1225	0.925	RFA																			
1228	5.100	5.100	5.100	5.100	UFA																
1229	RETIRED																				
1233	5.750	5.750	5.750	5.750	5.750	5.750	UFA														
1236	0.700	RFA																			
1237	9.538	9.538	UFA																		
1238	UFA																				
1239	KHL																				
1240	7.000	7.000	7.000	7.000	UFA																
1241	3.100	5.000	5.000	5.000	5.000	5.000	5.000	UFA													
1244	5.300	5.300	5.300	UFA																	
1247	4.650	4.650	UFA																		
1249	11.643	11.643	11.643	11.643	11.643	11.643	11.643	UFA													
1251	2.750	2.750	2.750	2.750	UFA																
1252	1.650	1.650	UFA																		
1253	5.500	5.500	5.500	UFA																	
1257	7.538	7.538	7.538	7.538	7.538	7.538	UFA														
1902	UFA																				
1261	6.667	6.667	6.667	6.667	UFA																
1262	2.250	2.250	UFA																		
1263	3.575	RFA																			
1264	0.750	RFA																			
1266	7.000	7.000	7.000	UFA																	
1267	3.750	3.750	UFA																		
1269	1.300	UFA																			
1271	1.600	1.600	RFA																		
1903	UFA																				
1274	0.874	RFA																			
1276	4.125	4.125	UFA																		
1278	4.000	4.000	4.000	UFA																	
1904	0.715	RFA																			
1279	3.250	UFA																			
1281	4.025	4.025	4.025	4.025	4.025	UFA															
1282	0.775	0.775	RFA																		
1285	0.858	0.858	0.858	UFA																	
1288	0.700	UFA																			
1289	5.500	5.500	UFA																		
1290	3.775	3.775	RFA																		
1291	0.874	4.025	4.025	4.025	4.025	4.025	UFA														
1294	UFA																				
1905	0.750	0.750	RFA																		
1297	0.750	0.750	UFA																		
1298	0.700	UFA																			
1299	6.500	UFA																			
1300	1.350	RFA																			
1301	3.000	3.000	RFA																		
1302	0.775	0.775	UFA																		
1305	1.000	UFA																			
1306	CZECH																				
1906	1.492	1.492	RFA																		
1307	6.750	6.750	6.750	RFA																	
1907	0.925	0.925	RFA																		
1308	1.750	UFA																			
1309	UFA																				
1311	0.775	0.775	UFA																		
1312	UFA																				
1318	0.700	RFA																			
1321	10.500	10.500	10.500	10.500	10.500	10.500	10.500	UFA													
