245	Johnston, Ross	1.000	1.000	1.000	1.000	UFA
311	Jones, Max	0.863	0.863	0.863	RFA	
247	Joseph, Mathieu	0.911	0.911	RFA		
248	Jost, Tyson	1.673	1.673	RFA		
866	Jurco, Tomas	MINORS	0.750	UFA		
252	Kadri, Nazem	4.500	4.500	4.500	4.500	UFA
253	Kahun, Dominik	3.775	3.775	RFA		
	Kakko, Kaapo	FINLAND	3.575	3.575	3.575	RFA
254	Kamenev, Vladislav	0.894	0.750	RFA		
255	Kampf, David	0.925	1.000	1.000	RFA	
138	Kane, Evander	7.000	7.000	7.000	7.000	7.000
364	Kane, Patrick	10.500	10.500	10.500	10.500	10.500
256	Kapanen, Kasperi	0.863	3.200	3.200	3.200	RFA
312	Karlsson, Melker	2.000	2.000	UFA		
490	Karlsson, William	5.250	5.900	5.900	5.900	5.900
	Kase, David	0.850	0.850	0.850	RFA	
257	Kase, Ondrej	2.600	2.600	2.600	RFA	
258	Kassian, Zack	1.950	1.950	UFA		
259	Keller, Clayton	1.673	1.673	7.150	7.150	7.150
1	Kempe, Adrian	0.894	2.000	2.000	2.000	RFA
313	Kempe, Mario	0.700	0.700	UFA		
260	Kerfoot, Alexander	1.138	3.500	3.500	3.500	3.500
	Kero, Tanner	0.750	0.738	0.738	UFA	
261	Kesler, Ryan	6.875	6.875	6.875	6.875	UFA
262	Kessel, Phil	8.000	8.000	8.000	8.000	UFA
263	Khaira, Jujhar	0.675	1.200	1.200	RFA	
264	Killorn, Alex	4.450	4.450	4.450	4.450	4.450
	Klimchuk, Morgan	0.700	0.700	RFA		
265	Knight, Corban	0.650	KHL			
266	Koivu, Mikko	5.500	5.500	UFA		
267	Komarov, Leo	3.000	3.000	3.000	3.000	UFA
268	Konecny, Travis	1.107	5.500	5.500	5.500	5.500
269	Kopitar, Anze	10.000	10.000	10.000	10.000	10.000
	Kossila, Kalle	0.650	0.700	0.700	UFA	
	Kostin, Klim	1.138	1.138	RFA		
270	Kotkaniemi, Jesperi	3.425	3.425	3.425	RFA	
271	Kovalchuk, Ilya	6.250	6.250	6.250	UFA	
	Kravtsov, Vitali	KHL	1.775	1.775	1.775	RFA
272	Kreider, Chris	4.625	4.625	UFA		
273	Krejci, David	7.250	7.250	7.250	UFA	
274	Kruger, Marcus	3.083	SWISS			
	Kubalik, Dominik	SWISS	1.775	RFA		
275	Kucherov, Nikita	4.767	9.500	9.500	9.500	9.500
277	Kuhlman, Karson	0.763	0.763	RFA		
278	Kuhnhackl, Tom	0.700	0.850	UFA		
279	Kunin, Luke	1.425	1.425	RFA		
280	Kunitz, Chris	1.000	RETIRED			
281	Kuraly, Sean	1.275	1.275	1.275	UFA	
282	Kuznetsov, Evgeny	7.800	7.800	7.800	7.800	7.800
283	Kyrou, Jordan	0.880	0.880	0.880	RFA	
287	Labanc, Kevin	0.925	1.000	RFA		
288	Ladd, Andrew	5.500	5.500	5.500	5.500	5.500
	Lafferty, Sam	0.925	0.925	RFA		
289	Laine, Patrik	3.575	6.750	6.750	RFA	
	Lammikko, Juho	0.925	FINLAND			
291	Landeskog, Gabriel	5.571	5.571	5.571	UFA	
292	Lappin, Nick	0.700	0.700	UFA		
293	Larkin, Dylan	6.100	6.100	6.100	6.100	6.100
